,w1,w2,b
111,-5.0,-2.0,39.0
112,-5.0,-2.0,39.0
113,-5.0,-2.0,39.0
114,-5.0,-2.0,39.0
115,-5.0,-2.0,39.0
116,-5.0,-2.0,39.0
117,-5.0,-2.0,39.0
118,-5.0,-2.0,39.0
119,-5.0,-2.0,39.0
120,-5.0,-2.0,39.0
121,-5.0,-2.0,39.0
122,-5.0,-2.0,39.0
123,-5.0,-2.0,39.0
124,-5.0,-2.0,39.0
125,-5.0,-2.0,39.0
126,-5.0,-2.0,39.0
127,-5.0,-2.0,39.0
128,-5.0,-2.0,39.0
129,-5.0,-2.0,39.0
130,-5.0,-2.0,39.0
131,-5.0,-2.0,39.0
132,-5.0,-2.0,39.0
133,-5.0,-2.0,39.0
134,-5.0,-2.0,39.0
135,-5.0,-2.0,39.0
136,-5.0,-2.0,39.0
137,-5.0,-2.0,39.0
138,-5.0,-2.0,39.0
139,-5.0,-2.0,39.0
140,-5.0,-2.0,39.0
141,-5.0,-2.0,39.0
142,-5.0,-2.0,39.0
143,-5.0,-2.0,39.0
144,-5.0,-2.0,39.0
145,-5.0,-2.0,39.0
146,-5.0,-2.0,39.0
147,-5.0,-2.0,39.0
148,-5.0,-2.0,39.0
149,-5.0,-2.0,39.0
150,-5.0,-2.0,39.0
151,-5.0,-2.0,39.0
152,-5.0,-2.0,39.0
153,-5.0,-2.0,39.0
154,-5.0,-2.0,39.0
155,-5.0,-2.0,39.0
156,-5.0,-2.0,39.0
157,-5.0,-2.0,39.0
158,-5.0,-2.0,39.0
159,-5.0,-2.0,39.0
160,-5.0,-2.0,39.0
161,-5.0,-2.0,39.0
162,-5.0,-2.0,39.0
163,-5.0,-2.0,39.0
164,-5.0,-2.0,39.0
165,-5.0,-2.0,39.0
166,-5.0,-2.0,39.0
167,-5.0,-2.0,39.0
168,-5.0,-2.0,39.0
169,-5.0,-2.0,39.0
170,-5.0,-2.0,39.0
171,-5.0,-2.0,39.0
172,-5.0,-2.0,39.0
173,-5.0,-2.0,39.0
174,-5.0,-2.0,39.0
175,-5.0,-2.0,39.0
176,-5.0,-2.0,39.0
177,-5.0,-2.0,39.0
178,-5.0,-2.0,39.0
179,-5.0,-2.0,39.0
180,-5.0,-2.0,39.0
181,-5.0,-2.0,39.0
182,-5.0,-2.0,39.0
183,-5.0,-2.0,39.0
184,-5.0,-2.0,39.0
185,-5.0,-2.0,39.0
186,-5.0,-2.0,39.0
187,-5.0,-2.0,39.0
188,-5.0,-2.0,39.0
189,-5.0,-2.0,39.0
190,-5.0,-2.0,39.0
191,-5.0,-2.0,39.0
192,-5.0,-2.0,39.0
193,-5.0,-2.0,39.0
194,-5.0,-2.0,39.0
195,-5.0,-2.0,39.0
196,-5.0,-2.0,39.0
197,-5.0,-2.0,39.0
198,-5.0,-2.0,39.0
199,-5.0,-2.0,39.0
